time	V(n003)
5.682146732219407e-002	3.677821e+000
5.682176916446965e-002	3.677369e+000
5.682207100674523e-002	3.676922e+000
5.682648145924697e-002	3.670307e+000
5.683089191174870e-002	3.663694e+000
5.683530236425043e-002	3.657081e+000
5.683971281675216e-002	3.650469e+000
5.684412326925389e-002	3.643858e+000
5.684853372175563e-002	3.637248e+000
5.685294417425736e-002	3.630638e+000
5.710933063724115e-002	3.246380e+000
5.736571710022494e-002	2.862220e+000
5.762210356320873e-002	2.478158e+000
5.787849002619253e-002	2.094194e+000
5.813487648917631e-002	1.710329e+000
5.839126295216011e-002	1.326562e+000
5.864764941514390e-002	9.428937e-001
5.872577441514389e-002	8.260035e-001
5.880389941514389e-002	7.091224e-001
5.888202441514389e-002	5.922505e-001
5.896014941514389e-002	4.753877e-001
5.903827441514389e-002	3.585340e-001
5.911639941514389e-002	2.416895e-001
5.919452441514388e-002	1.248541e-001
5.927264941514388e-002	8.027876e-003
5.935077441514388e-002	-1.087896e-001
5.941558529185472e-002	-2.056920e-001
5.948343188161564e-002	-3.071259e-001
5.956155688161564e-002	-4.239200e-001
5.957036240005077e-002	-4.370834e-001
5.958797343692102e-002	-4.634095e-001
5.959237619613858e-002	-4.699909e-001
5.960118171457371e-002	-4.831537e-001
5.960560600026436e-002	-4.897672e-001
5.960936845275815e-002	-4.953914e-001
5.961217200052427e-002	-4.995821e-001
5.961590486290695e-002	-5.051621e-001
5.961981091934537e-002	-5.110009e-001
5.961999532856979e-002	-5.112765e-001
5.962036414701864e-002	-5.118278e-001
5.962110178391632e-002	-5.129305e-001
5.962148985738307e-002	-5.135105e-001
5.962188102396397e-002	-5.140952e-001
5.962210830845179e-002	-5.144350e-001
5.962226669395029e-002	-5.146717e-001
5.962243517695153e-002	-5.149236e-001
5.962258089795238e-002	-5.151414e-001
5.962268047182785e-002	-5.152903e-001
5.962280076606092e-002	-5.154700e-001
5.962304135452707e-002	-5.158297e-001
5.962328007115703e-002	-5.161865e-001
5.962353074593329e-002	-5.165612e-001
5.962367364631462e-002	-5.167748e-001
5.962380460865588e-002	-5.169706e-001
5.962394808538503e-002	-5.171850e-001
5.962417107375597e-002	-5.175184e-001
5.962457656154808e-002	-5.181245e-001
5.962499587613369e-002	-5.187513e-001
5.962534301515067e-002	-5.192702e-001
5.962558991522275e-002	-5.196393e-001
5.962589162079961e-002	-5.200902e-001
5.962619862533169e-002	-5.205491e-001
5.962648447711875e-002	-5.209764e-001
5.962700050793066e-002	-5.217478e-001
5.962754732566398e-002	-5.225652e-001
5.962810567417196e-002	-5.233998e-001
5.962867607269684e-002	-5.242524e-001
5.962887574329703e-002	-5.245509e-001
5.962895321822473e-002	-5.246667e-001
5.962903055651014e-002	-5.247823e-001
5.962910989319947e-002	-5.249009e-001
5.962922420591504e-002	-5.250717e-001
5.962934893548610e-002	-5.252582e-001
5.962956333308913e-002	-5.255787e-001
5.962978843831480e-002	-5.259151e-001
5.963023864876614e-002	-5.265881e-001
5.963066158618322e-002	-5.272203e-001
5.963096025196452e-002	-5.276667e-001
5.963115064266700e-002	-5.279514e-001
5.963136062286849e-002	-5.282652e-001
5.963148969445153e-002	-5.284582e-001
5.963163260962618e-002	-5.286718e-001
5.963180117037280e-002	-5.289237e-001
5.963210659082582e-002	-5.293803e-001
5.963271743173185e-002	-5.302933e-001
5.963352929056004e-002	-5.315069e-001
5.963515300821643e-002	-5.339340e-001
5.963759238730663e-002	-5.375803e-001
5.964076605398776e-002	-5.423242e-001
5.964547780374891e-002	-5.493671e-001
5.965443581720720e-002	-5.627571e-001
5.967235184412376e-002	-5.895366e-001
5.970818389795690e-002	-6.430938e-001
5.977984800562317e-002	-7.502027e-001
5.985797300562317e-002	-8.669603e-001
5.993609800562317e-002	-9.837093e-001
6.000586100252847e-002	-1.087954e+000
6.007980533838463e-002	-1.198439e+000
6.015793033838462e-002	-1.315162e+000
6.030301962409890e-002	-1.531919e+000
6.044810890981319e-002	-1.748638e+000
6.059319819552747e-002	-1.965319e+000
6.073828748124176e-002	-2.181961e+000
6.088337676695604e-002	-2.398564e+000
6.102846605267032e-002	-2.615129e+000
6.117355533838460e-002	-2.831656e+000
6.122935890981317e-002	-2.914904e+000
6.128516248124175e-002	-2.998110e+000
6.134096605267032e-002	-3.081272e+000
6.139676962409888e-002	-3.164392e+000
6.145257319552745e-002	-3.247469e+000
6.150837676695602e-002	-3.330504e+000
6.156418033838459e-002	-3.413495e+000
6.164230533838459e-002	-3.529473e+000
6.172043033838459e-002	-3.645234e+000
6.172384555743808e-002	-3.650284e+000
6.173067599554506e-002	-3.660369e+000
6.173238360507181e-002	-3.662889e+000
6.173579882412530e-002	-3.667926e+000
6.173665262888867e-002	-3.669185e+000
6.173836023841541e-002	-3.671702e+000
6.174007692329492e-002	-3.674231e+000
6.174040890233192e-002	-3.674720e+000
6.174107286040594e-002	-3.675699e+000
6.174184810490331e-002	-3.676842e+000
6.174245657229887e-002	-3.677742e+000
6.174290393045510e-002	-3.678406e+000
6.174323549702323e-002	-3.678905e+000
6.174350484246299e-002	-3.679321e+000
6.174370598819919e-002	-3.679652e+000
6.174384283301968e-002	-3.679908e+000
6.174393742094327e-002	-3.680130e+000
6.174401086172399e-002	-3.680372e+000
6.174407588279191e-002	-3.680701e+000
6.174414115635610e-002	-3.681211e+000
6.174421651304926e-002	-3.682060e+000
6.174429305316756e-002	-3.683336e+000
6.174438589658259e-002	-3.685738e+000
6.174447013354503e-002	-3.689140e+000
6.174456033582990e-002	-3.694155e+000
6.174461444670926e-002	-3.697521e+000
6.174466086347036e-002	-3.699863e+000
6.174471867711576e-002	-3.701326e+000
6.174477793274116e-002	-3.701631e+000
6.174490869564005e-002	-3.701531e+000
6.174512031750995e-002	-3.701670e+000
6.174527504807568e-002	-3.701667e+000
6.174558450920714e-002	-3.695111e+000
6.174565587670755e-002	-3.687830e+000
6.174572965103910e-002	-3.678837e+000
6.174574403011112e-002	-3.678479e+000
6.174576785694655e-002	-3.679309e+000
6.174578082671543e-002	-3.679725e+000
6.174579545070275e-002	-3.680101e+000
6.174581310066531e-002	-3.680414e+000
6.174583249760841e-002	-3.680596e+000
6.174585861782087e-002	-3.680653e+000
6.174589665116144e-002	-3.680568e+000
6.174596896319517e-002	-3.680321e+000
6.174600810693226e-002	-3.680233e+000
6.174621085996397e-002	-3.679906e+000
6.174641361299568e-002	-3.679583e+000
6.174661636602739e-002	-3.679265e+000
6.174681911905909e-002	-3.678951e+000
6.174702187209080e-002	-3.678641e+000
6.174722462512251e-002	-3.678336e+000
6.174742737815422e-002	-3.678035e+000
6.175032045905109e-002	-3.673693e+000
6.175321353994798e-002	-3.669352e+000
6.175610662084485e-002	-3.665012e+000
6.175899970174173e-002	-3.660673e+000
6.176189278263861e-002	-3.656336e+000
6.176478586353549e-002	-3.652000e+000
6.176767894443237e-002	-3.647666e+000
6.206103665963852e-002	-3.207963e+000
6.235439437484467e-002	-2.768391e+000
6.264775209005082e-002	-2.328950e+000
6.294110980525697e-002	-1.889641e+000
6.323446752046312e-002	-1.450462e+000
6.352782523566927e-002	-1.011414e+000
6.382118295087542e-002	-5.724965e-001
6.413368295087542e-002	-1.050796e-001
6.444618295087541e-002	3.621863e-001
6.475868295087540e-002	8.293013e-001
6.507118295087540e-002	1.296265e+000
6.538368295087539e-002	1.763079e+000
6.569618295087538e-002	2.229741e+000
6.600868295087538e-002	2.696252e+000
